wave,n
0.13405,1.40026909
0.13478,1.4158217
0.13552,1.4309217
0.13626,1.44550754
0.13702,1.45952684
0.13778,1.47293499
0.13855,1.48569651
0.13933,1.49778529
0.14011,1.50918396
0.14091,1.51988482
0.14171,1.52988855
0.14253,1.53920547
0.14335,1.54785396
0.14419,1.55586078
0.14503,1.56326009
0.14588,1.5700932
0.14675,1.57640743
0.14762,1.5822555
0.1485,1.58769453
0.1494,1.5927851
0.1503,1.59759009
0.15122,1.60217396
0.15215,1.60660144
0.15309,1.61093649
0.15404,1.61524146
0.155,1.61957628
0.15597,1.62399743
0.15696,1.62855737
0.15796,1.6333039
0.15897,1.63827975
0.16,1.64352229
0.16104,1.64906316
0.16209,1.65492838
0.16316,1.66113844
0.16424,1.66770831
0.16533,1.67464784
0.16644,1.68196214
0.16757,1.68965198
0.16871,1.69771446
0.16986,1.70614339
0.17103,1.71493024
0.17222,1.72406455
0.17343,1.73353519
0.17465,1.74333054
0.17589,1.75343987
0.17714,1.76385402
0.17842,1.77456604
0.17971,1.78557243
0.18102,1.79687317
0.18235,1.80847267
0.1837,1.82037989
0.18507,1.83260842
0.18647,1.84517587
0.18788,1.85810328
0.18931,1.87141395
0.19077,1.88513174
0.19225,1.89927946
0.19375,1.91387638
0.19528,1.92893601
0.19683,1.94446431
0.1984,1.96045675
0.2,1.97689786
0.20163,1.99375935
0.20328,2.01100036
0.20496,2.02856762
0.20667,2.04639768
0.2084,2.06441766
0.21017,2.08254968
0.21197,2.10071427
0.21379,2.11883264
0.21565,2.13683212
0.21754,2.15464946
0.21947,2.17223387
0.22143,2.18954931
0.22342,2.20657672
0.22545,2.22331467
0.22752,2.23977872
0.22963,2.25600092
0.23178,2.27202648
0.23396,2.28791187
0.23619,2.3037211
0.23846,2.31952105
0.24078,2.33537819
0.24314,2.35135446
0.24554,2.36750386
0.248,2.38386909
0.25051,2.40047946
0.25306,2.41734907
0.25567,2.43447582
0.25833,2.4518417
0.26105,2.46941254
0.26383,2.48713914
0.26667,2.50495924
0.26957,2.52279833
0.27253,2.54057257
0.27556,2.55819003
0.27865,2.57555276
0.28182,2.5925595
0.28506,2.60910659
0.28837,2.62509045
0.29176,2.64040854
0.29524,2.65496117
0.2988,2.66865233
0.30244,2.68139046
0.30617,2.69308992
0.31,2.70367045
0.31392,2.7130585
0.31795,2.72118676
0.32208,2.72799456
0.32632,2.73342747
0.33067,2.73743747
0.33514,2.73998255
0.33973,2.74102653
0.34444,2.74053893
0.3493,2.73849486
0.35429,2.73487513
0.35942,2.72966645
0.36471,2.72286198
0.37015,2.71446209
0.37576,2.70447536
0.38154,2.69292011
0.3875,2.679826
0.39365,2.66523618
0.4,2.64920965
0.40656,2.63182361
0.41333,2.61317638
0.42034,2.5933905
0.42759,2.57261477
0.43509,2.55102851
0.44286,2.52884294
0.45091,2.50630615
0.45926,2.48370728
0.46792,2.46138626
0.47692,2.43975503
0.48627,2.41937301
0.496,2.40136015
0.50612,2.38557397
0.51667,2.37120631
0.52766,2.35795719
0.53913,2.3456475
0.55111,2.33415264
0.56364,2.32337903
0.57674,2.31325264
0.59048,2.30371294
0.60488,2.29470919
0.62,2.28619807
0.6359,2.27814214
0.65263,2.27050856
0.67027,2.26326845
0.68889,2.25639609
0.70857,2.24986856
0.72941,2.24366535
0.75152,2.23776797
0.775,2.23215972
0.8,2.22682554
0.82667,2.22175172
0.85517,2.21692582
0.88571,2.21233649
0.91852,2.20797329
0.95385,2.20382673
0.992,2.19988802
1.0333,2.19614903
1.0783,2.19260224
1.1273,2.18924058
1.181,2.18605744
1.24,2.18304647
1.2988,2.18046261
1.2995,2.18043604
1.3001,2.18040947
1.3008,2.18038292
1.3014,2.18035639
1.3021,2.18032987
1.3027,2.18030337
1.3034,2.18027689
1.3041,2.18025041
1.3047,2.18022395
1.3053,2.18020159
1.3054,2.1801975
1.306,2.18017107
1.3067,2.18014466
1.3073,2.18011826
1.308,2.18009187
1.3087,2.1800655
1.3093,2.18003914
1.31,2.1800128
1.3106,2.17998647
1.3113,2.17996017
1.312,2.17993386
1.3126,2.17990758
1.3133,2.17988131
1.314,2.17985506
1.3146,2.17982881
1.3153,2.17980259
1.316,2.17977638
1.3166,2.17975019
1.3173,2.179724
1.318,2.17969784
1.3186,2.17967168
1.3193,2.17964554
1.32,2.17961942
1.3207,2.17959331
1.3213,2.17956722
1.322,2.17954114
1.3227,2.17951507
1.3234,2.17948902
1.324,2.17946298
1.3247,2.17943697
1.3254,2.17941095
1.3261,2.17938496
1.3267,2.17935898
1.3274,2.17933302
1.3281,2.17930706
1.3288,2.17928114
1.3295,2.17925521
1.3301,2.17922931
1.3308,2.17920341
1.3315,2.17917754
1.3322,2.17915167
1.3329,2.17912582
1.3336,2.17909999
1.3343,2.17907418
1.3349,2.17904837
1.3356,2.17902258
1.3363,2.1789968
1.337,2.17897104
1.3377,2.17894529
1.3384,2.17891956
1.3391,2.17889384
1.3398,2.17886813
1.3405,2.17884244
1.3412,2.17881677
1.3419,2.1787911
1.3425,2.17876546
1.3432,2.17873983
1.3439,2.17871421
1.3446,2.17868861
1.3453,2.17866302
1.346,2.17863744
1.3467,2.17861188
1.3474,2.17858634
1.3481,2.1785608
1.3488,2.17853529
1.3495,2.17850978
1.3502,2.17848429
1.3509,2.17845882
1.3516,2.17843336
1.3523,2.17840792
1.3531,2.17838248
1.3538,2.17835706
1.3545,2.17833166
1.3552,2.17830627
1.3559,2.17828089
1.3566,2.17825554
1.3573,2.17823019
1.358,2.17820486
1.3587,2.17817953
1.3594,2.17815423
1.3602,2.17812894
1.3609,2.17810367
1.3616,2.17807841
1.3623,2.17805316
1.363,2.17802793
1.3637,2.17800271
1.3644,2.1779775
1.3652,2.17795231
1.3659,2.17792714
1.3666,2.17790198
1.3673,2.17787683
1.368,2.1778517
1.3688,2.17782657
1.3695,2.17780147
1.3702,2.17777639
1.3709,2.17775131
1.3717,2.17772624
1.3724,2.1777012
1.3731,2.17767616
1.3738,2.17765114
1.3746,2.17762613
1.3753,2.17760114
1.376,2.17757617
1.3768,2.17755121
1.3775,2.17752625
1.3778,2.17751678
1.3782,2.17750132
1.379,2.17747639
1.3797,2.17745149
1.3804,2.1774266
1.3812,2.17740172
1.3819,2.17737685
1.3826,2.177352
1.3834,2.17732716
1.3841,2.17730234
1.3849,2.17727753
1.3856,2.17725274
1.3863,2.17722796
1.3871,2.17720319
1.3878,2.17717844
1.3886,2.1771537
1.3893,2.17712898
1.3901,2.17710426
1.3908,2.17707957
1.3915,2.17705489
1.3923,2.17703021
1.393,2.17700556
1.3938,2.17698092
1.3945,2.1769563
1.3953,2.17693169
1.396,2.17690709
1.3968,2.1768825
1.3975,2.17685793
1.3983,2.17683337
1.3991,2.17680883
1.3998,2.1767843
1.4006,2.17675979
1.4013,2.17673528
1.4021,2.1767108
1.4028,2.17668632
1.4036,2.17666187
1.4044,2.17663742
1.4051,2.17661299
1.4059,2.17658857
1.4066,2.17656417
1.4074,2.17653978
1.4082,2.1765154
1.4089,2.17649104
1.4097,2.17646669
1.4105,2.17644236
1.4112,2.17641804
1.412,2.17639373
1.4128,2.17636944
1.4136,2.17634516
1.4143,2.17632089
1.4151,2.17629664
1.4159,2.17627241
1.4166,2.17624818
1.4174,2.17622398
1.4182,2.17619978
1.419,2.1761756
1.4197,2.17615143
1.4205,2.17612727
